t [h],OD600
0,5.521472599388923
5.8712144331498575,27.607362996944612
7.954545454545454,46.01226042810959
11.931818181818182,98.92636160545534
15.909090909090908,141.71779110091663
19.886363636363637,156.90184074923616
22.91666897860441,168.40489743116498
25.94696738503196,182.2085789296373
29.924240112304688,207.51533396023558
32.95454545454545,211.19631007642914
37.87879250266335,221.31901545870787
42.04545454545455,233.28220047398483
53.97727272727273,248.00613021405482
65.9090909090909,235.12269695718018
80.11363636363636,241.5644093730682
89.96211658824573,233.74232880733297
103.97727272727272,242.48466603976448
115.15151977539062,224.99999157490146
128.03029840642756,217.6380393425143
138.0681818181818,214.41717470947174
150.18940318714488,201.07362154434753